Time,ped_n,ped_e,ego_n,ego_e,Velocity,ObjectAbsVel,flag,left_e,left_n,right_e,right_n
1626241226483.0,24.25358581542969,1.726518630981445,-62.20499038696289,28.21667861938477,2.7268518518518525,2.30118352957381,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226602.0,23.93947029113769,0.5919044017791748,-63.28619003295898,28.29548645019531,2.7376543209876547,2.7258667413583217,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626241226700.0,25.171371459960927,0.5104866027832031,-523.0794289751751,71.55728684402094,3.63372995709124,3.196395336225643,16.0,80.5725781905969,-808.2824106151413,79.64641726675964,-811.5454326163534
1626227907409.0,-159.58888244628906,1157.32958984375,-104.32829284667969,1146.8203125,2.1041666666666665,1.7554061774284315,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227908622.0,-158.12493896484375,1157.14306640625,-113.70980072021484,1146.8260498046875,2.2438271604938267,1.4498950334869964,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227908721.0,-157.96884155273438,1157.222900390625,-114.5239715576172,1146.8238525390625,2.2546296296296293,1.4349569897107797,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227908810.0,-157.812744140625,1157.302734375,-115.29791259765624,1146.81396484375,2.266203703703704,1.4257956860786822,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227908908.0,-157.72445678710938,1157.20166015625,-116.15567779541016,1146.8118896484375,2.2816358024691357,1.4139699315233416,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909007.0,-157.5712890625,1157.221923828125,-116.9898910522461,1146.803955078125,2.2986111111111107,1.375620642108073,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909107.0,-157.41432189941406,1157.2271728515625,-117.81378936767578,1146.79638671875,2.2986111111111107,1.3259401635658103,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909206.0,-157.2705841064453,1157.23193359375,-118.65057373046876,1146.7847900390625,2.3040123456790123,1.2927268021819358,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909306.0,-157.21250915527344,1157.1962890625,-119.49156951904295,1146.78173828125,2.308641975308642,1.2485210354543257,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909407.0,-157.08062744140625,1157.1768798828125,-120.32844543457031,1146.76806640625,2.304783950617284,1.2140959092489765,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909504.0,-156.96778869628906,1157.144775390625,-121.15463256835938,1146.7572021484375,2.3009259259259256,1.2003388365877268,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909623.0,-156.87498474121094,1157.1058349609375,-122.07693481445312,1146.7469482421875,2.302469135802469,1.2289347277543148,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909725.0,-156.6881103515625,1157.0567626953125,-122.8369369506836,1146.73681640625,2.3016975308641974,1.2696605471609712,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909821.0,-156.5836944580078,1157.0316162109375,-123.6501007080078,1146.7222900390625,2.304783950617284,1.289914925856292,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227909912.0,-156.413330078125,1156.997314453125,-124.44876098632812,1146.704833984375,2.2962962962962963,1.291997066635678,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910008.0,-156.2686004638672,1156.9730224609375,-125.30067443847656,1146.6937255859375,2.286265432098765,1.2668081819203871,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910108.0,-156.1414794921875,1156.9630126953125,-126.14381408691406,1146.676025390625,2.278549382716049,1.255162856679808,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910213.0,-155.94741821289062,1156.943115234375,-126.98585510253906,1146.6644287109375,2.2770061728395063,1.295438289551166,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910306.0,-155.79603576660156,1156.9405517578125,-127.76325988769531,1146.6380615234375,2.2739197530864192,1.2918905510450889,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910405.0,-155.77699279785156,1156.93310546875,-128.60850524902344,1146.621337890625,2.2762345679012346,1.2764496835539958,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910505.0,-155.62269592285156,1156.921875,-129.43669128417972,1146.602294921875,2.2770061728395063,1.22621979861742,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910603.0,-155.4132843017578,1156.91015625,-130.25297546386722,1146.58447265625,2.2716049382716053,1.1556351686814317,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910723.0,-155.45570373535156,1156.88671875,-131.16023254394528,1146.5618896484375,2.278549382716049,1.1145739502727323,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910822.0,-155.2958221435547,1156.8748779296875,-131.90133666992188,1146.53759765625,2.280092592592593,1.0983830561970995,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227910909.0,-155.1150360107422,1156.8590087890625,-132.67918395996094,1146.5096435546875,2.2908950617283947,1.1222850238995594,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227911005.0,-155.0728302001953,1156.836669921875,-133.52949523925778,1146.481689453125,2.3001543209876543,1.1130029766937737,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227911125.0,-155.03062438964844,1156.814208984375,-134.47413635253906,1146.454345703125,2.3055555555555562,1.129715357018269,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626227911322.0,-154.75926208496094,1156.8226318359375,-136.14085388183594,1146.401123046875,2.3032407407407405,1.1575766888411243,8.0,1148.0015778881127,-138.4976984470196,1144.4789355352598,-138.60066366536245
1626246355453.0,-28.061050415039066,11.176316261291504,-32.61244583129883,21.297927856445312,2.6890432098765427,0.5435146027742553,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246355651.0,-27.87853240966797,11.317361831665039,-34.27743911743164,22.332162857055664,2.721450617283951,0.5864275041026079,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246355749.0,-27.97039794921875,11.407273292541506,-35.120628356933594,22.86583137512207,2.743827160493828,0.6132683951109184,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246355868.0,-28.1279296875,11.520832061767578,-36.05369186401367,23.448257446289066,2.7631172839506166,0.6330649454487329,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246355952.0,-28.02228927612305,11.497239112854006,-36.75726318359375,23.88174819946289,2.7808641975308643,0.6480035506618806,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356068.0,-28.111860275268555,11.51604461669922,-37.76801300048828,24.518299102783203,2.804783950617284,0.6588715823178294,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356167.0,-28.20142936706543,11.53485107421875,-38.55490493774414,25.01150894165039,2.8248456790123457,0.6748592279981278,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
